"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 02월 22일","2,106.61","2,106.42","2,108.98","2,101.56","312.22M","0.18%"
"2017년 02월 21일","2,102.93","2,085.97","2,108.48","2,085.00","292.54M","0.89%"
"2017년 02월 20일","2,084.39","2,084.16","2,085.59","2,077.13","297.20M","0.18%"
"2017년 02월 17일","2,080.58","2,072.57","2,081.18","2,072.57","301.52M","-0.06%"
"2017년 02월 16일","2,081.84","2,088.09","2,092.59","2,078.35","330.47M","-0.10%"
"2017년 02월 15일","2,083.86","2,073.60","2,087.69","2,069.89","338.04M","0.45%"
"2017년 02월 14일","2,074.57","2,079.30","2,081.59","2,068.16","332.37M","-0.20%"
"2017년 02월 13일","2,078.65","2,074.94","2,078.66","2,070.36","289.68M","0.17%"
"2017년 02월 10일","2,075.08","2,075.80","2,080.74","2,072.23","314.68M","0.45%"
"2017년 02월 09일","2,065.88","2,067.15","2,072.69","2,062.12","236.01M","0.04%"
"2017년 02월 08일","2,065.08","2,072.58","2,072.58","2,052.29","266.72M","-0.49%"
"2017년 02월 07일","2,075.21","2,077.80","2,079.23","2,071.05","271.81M","-0.12%"
"2017년 02월 06일","2,077.66","2,085.73","2,088.37","2,073.03","315.32M","0.22%"
"2017년 02월 03일","2,073.16","2,075.90","2,079.85","2,064.05","392.58M","0.10%"
"2017년 02월 02일","2,071.01","2,080.23","2,092.45","2,067.76","825.48M","-0.46%"
"2017년 02월 01일","2,080.48","2,075.31","2,082.70","2,073.97","452.53M","0.62%"
"2017년 01월 31일","2,067.57","2,077.66","2,079.97","2,067.57","288.28M","-0.77%"
"2017년 01월 26일","2,083.59","2,074.77","2,088.60","2,068.50","257.92M","0.81%"
"2017년 01월 25일","2,066.94","2,075.33","2,077.72","2,062.96","310.24M","0.06%"
"2017년 01월 24일","2,065.76","2,070.22","2,072.66","2,058.59","312.41M","-0.01%"
"2017년 01월 23일","2,065.99","2,067.62","2,073.80","2,058.91","444.86M","0.02%"
"2017년 01월 20일","2,065.61","2,065.54","2,072.32","2,064.00","392.65M","-0.35%"
"2017년 01월 19일","2,072.79","2,085.61","2,091.02","2,065.03","415.67M","0.11%"
"2017년 01월 18일","2,070.54","2,073.77","2,075.23","2,058.35","530.13M","-0.06%"
"2017년 01월 17일","2,071.87","2,067.52","2,078.80","2,065.53","601.44M","0.37%"
"2017년 01월 16일","2,064.17","2,077.03","2,080.05","2,058.93","683.93M","-0.61%"
"2017년 01월 13일","2,076.79","2,077.12","2,080.94","2,073.44","518.28M","-0.50%"
"2017년 01월 12일","2,087.14","2,077.69","2,087.14","2,073.89","555.84M","0.58%"
"2017년 01월 11일","2,075.17","2,048.08","2,079.70","2,047.56","335.53M","1.47%"
"2017년 01월 10일","2,045.12","2,043.30","2,046.78","2,039.50","512.66M","-0.18%"
"2017년 01월 09일","2,048.78","2,053.18","2,053.18","2,046.47","398.29M","-0.02%"
"2017년 01월 06일","2,049.12","2,048.11","2,051.84","2,045.66","455.35M","0.35%"
"2017년 01월 05일","2,041.95","2,045.52","2,046.50","2,039.49","541.34M","-0.18%"
"2017년 01월 04일","2,045.64","2,046.29","2,046.29","2,040.61","371.49M","0.08%"
"2017년 01월 03일","2,043.97","2,034.31","2,044.07","2,028.47","268.13M","0.88%"
"2017년 01월 02일","2,026.16","2,022.23","2,031.79","2,015.68","229.88M","-0.01%"
